start_id|end_id|TYPE
UMLS/C0010594|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0011304|MSH/D003711|ALSO_CODED_AS
UMLS/C0011304|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0011304|NCI/C117277|ALSO_CODED_AS
UMLS/C0011304|OMIM/MTHU002306|ALSO_CODED_AS
UMLS/C0013769|FMA/24901|ALSO_CODED_AS
UMLS/C0013769|FMA/322616|ALSO_CODED_AS
UMLS/C0013769|LNC/LA16717-3|ALSO_CODED_AS
UMLS/C0013769|LNC/LP199967-3|ALSO_CODED_AS
UMLS/C0013769|LNC/LP221486-6|ALSO_CODED_AS
UMLS/C0013769|LNC/LP7196-1|ALSO_CODED_AS
UMLS/C0013769|LNC/MTHU002674|ALSO_CODED_AS
UMLS/C0013769|LNC/MTHU053748|ALSO_CODED_AS
UMLS/C0013769|MSH/D004550|ALSO_CODED_AS
UMLS/C0013769|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0013770|FMA/321843|ALSO_CODED_AS
UMLS/C0013770|FMA/35289|ALSO_CODED_AS
UMLS/C0013770|MSH/D004551|ALSO_CODED_AS
UMLS/C0013770|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0013770|NCI/C32497|ALSO_CODED_AS
UMLS/C0013832|LNC/LP19403-2|ALSO_CODED_AS
UMLS/C0013832|LNC/MTHU008531|ALSO_CODED_AS
UMLS/C0013832|MSH/D004573|ALSO_CODED_AS
UMLS/C0013832|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0013832|NCI/C464|ALSO_CODED_AS
UMLS/C0013832|VANDF/4022490|ALSO_CODED_AS
UMLS/C0013845|MSH/D004578|ALSO_CODED_AS
UMLS/C0013845|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0013845|NCI/C16534|ALSO_CODED_AS
UMLS/C0015230|HPO/HP:0000988|ALSO_CODED_AS
UMLS/C0015230|HPO/HP:4000054|ALSO_CODED_AS
UMLS/C0015230|ICD9CM/782.1|ALSO_CODED_AS
UMLS/C0015230|LNC/LA29194-0|ALSO_CODED_AS
UMLS/C0015230|LNC/LA7469-5|ALSO_CODED_AS
UMLS/C0015230|LNC/LP30547-1|ALSO_CODED_AS
UMLS/C0015230|LNC/LP75487-6|ALSO_CODED_AS
UMLS/C0015230|LNC/MTHU015064|ALSO_CODED_AS
UMLS/C0015230|LNC/MTHU020933|ALSO_CODED_AS
UMLS/C0015230|MEDLINEPLUS/208|ALSO_CODED_AS
UMLS/C0015230|MSH/D005076|ALSO_CODED_AS
UMLS/C0015230|MTH/638|ALSO_CODED_AS
UMLS/C0015230|MTH/U003405|ALSO_CODED_AS
UMLS/C0015230|NCI/C111884|ALSO_CODED_AS
UMLS/C0015230|NCI/C39594|ALSO_CODED_AS
UMLS/C0015230|OMIM/MTHU008860|ALSO_CODED_AS
UMLS/C0015230|OMIM/MTHU011109|ALSO_CODED_AS
UMLS/C0015230|OMIM/MTHU047706|ALSO_CODED_AS
UMLS/C0015672|HPO/HP:0012378|ALSO_CODED_AS
UMLS/C0015672|LNC/LA7542-9|ALSO_CODED_AS
UMLS/C0015672|LNC/LP74831-6|ALSO_CODED_AS
UMLS/C0015672|LNC/MTHU013358|ALSO_CODED_AS
UMLS/C0015672|MEDLINEPLUS/5324|ALSO_CODED_AS
UMLS/C0015672|MSH/D005221|ALSO_CODED_AS
UMLS/C0015672|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0015672|NCI/C3036|ALSO_CODED_AS
UMLS/C0015672|OMIM/MTHU010062|ALSO_CODED_AS
UMLS/C0016928|LNC/LP100865-7|ALSO_CODED_AS
UMLS/C0016928|LNC/LP30516-6|ALSO_CODED_AS
UMLS/C0016928|LNC/MTHU015039|ALSO_CODED_AS
UMLS/C0016928|LNC/MTHU035898|ALSO_CODED_AS
UMLS/C0016928|MSH/D005684|ALSO_CODED_AS
UMLS/C0016928|NCI/C75445|ALSO_CODED_AS
UMLS/C0018126|MSH/D006082|ALSO_CODED_AS
UMLS/C0018563|FMA/9712|ALSO_CODED_AS
UMLS/C0018563|LNC/LA16719-9|ALSO_CODED_AS
UMLS/C0018563|LNC/LP221491-6|ALSO_CODED_AS
UMLS/C0018563|LNC/LP7279-5|ALSO_CODED_AS
UMLS/C0018563|LNC/MTHU002685|ALSO_CODED_AS
UMLS/C0018563|MSH/D006225|ALSO_CODED_AS
UMLS/C0018563|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0018563|NCI/C32712|ALSO_CODED_AS
UMLS/C0018563|OMIM/MTHU000072|ALSO_CODED_AS
UMLS/C0018870|FMA/24994|ALSO_CODED_AS
UMLS/C0018870|FMA/326009|ALSO_CODED_AS
UMLS/C0018870|LNC/LA25778-4|ALSO_CODED_AS
UMLS/C0018870|MSH/D006365|ALSO_CODED_AS
UMLS/C0018870|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0018870|MTH/U003296|ALSO_CODED_AS
UMLS/C0018905|LNC/LP28800-8|ALSO_CODED_AS
UMLS/C0018905|MSH/D006386|ALSO_CODED_AS
UMLS/C0018905|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0018905|NCI/C130173|ALSO_CODED_AS
UMLS/C0020538|HPO/HP:0000822|ALSO_CODED_AS
UMLS/C0020538|ICD9CM/401-405.99|ALSO_CODED_AS
UMLS/C0020538|ICD9CM/997.91|ALSO_CODED_AS
UMLS/C0020538|LNC/LA14293-7|ALSO_CODED_AS
UMLS/C0020538|LNC/LA7444-8|ALSO_CODED_AS
UMLS/C0020538|LNC/LP74941-3|ALSO_CODED_AS
UMLS/C0020538|LNC/MTHU020789|ALSO_CODED_AS
UMLS/C0020538|MEDLINEPLUS/34|ALSO_CODED_AS
UMLS/C0020538|MSH/D006973|ALSO_CODED_AS
UMLS/C0020538|MTH/005|ALSO_CODED_AS
UMLS/C0020538|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0020538|NCI/C3117|ALSO_CODED_AS
UMLS/C0020538|OMIM/MTHU002068|ALSO_CODED_AS
UMLS/C0020538|OMIM/MTHU014957|ALSO_CODED_AS
UMLS/C0020538|OMIM/MTHU058377|ALSO_CODED_AS
UMLS/C0020538|OMIM/MTHU070458|ALSO_CODED_AS
UMLS/C0020580|HPO/HP:0003474|ALSO_CODED_AS
UMLS/C0020580|HPO/HP:0033748|ALSO_CODED_AS
UMLS/C0020580|MSH/D006987|ALSO_CODED_AS
UMLS/C0020580|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0020580|NCI/C50445|ALSO_CODED_AS
UMLS/C0020580|OMIM/MTHU010221|ALSO_CODED_AS
UMLS/C0021081|LNC/LP31454-9|ALSO_CODED_AS
UMLS/C0021081|MSH/D007166|ALSO_CODED_AS
UMLS/C0021081|MTH/U002004|ALSO_CODED_AS
UMLS/C0021081|NCI/C574|ALSO_CODED_AS
UMLS/C0021081|VANDF/4021763|ALSO_CODED_AS
UMLS/C0022369|LNC/LP29657-1|ALSO_CODED_AS
UMLS/C0022369|MSH/D007577|ALSO_CODED_AS
UMLS/C0022369|NCI/C14229|ALSO_CODED_AS
UMLS/C0022742|FMA/24974|ALSO_CODED_AS
UMLS/C0022742|LNC/LA22232-5|ALSO_CODED_AS
UMLS/C0022742|LNC/LP199984-8|ALSO_CODED_AS
UMLS/C0022742|LNC/LP7381-9|ALSO_CODED_AS
UMLS/C0022742|LNC/MTHU002687|ALSO_CODED_AS
UMLS/C0022742|MSH/D007717|ALSO_CODED_AS
UMLS/C0022742|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0022745|FMA/35175|ALSO_CODED_AS
UMLS/C0022745|FMA/35184|ALSO_CODED_AS
UMLS/C0022745|MSH/D007719|ALSO_CODED_AS
UMLS/C0022745|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0022745|NCI/C32898|ALSO_CODED_AS
UMLS/C0022885|MEDLINEPLUS/210|ALSO_CODED_AS
UMLS/C0022885|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0022885|NCI/C25294|ALSO_CODED_AS
UMLS/C0022917|LNC/LP15033-1|ALSO_CODED_AS
UMLS/C0022917|LNC/MTHU002348|ALSO_CODED_AS
UMLS/C0022917|MSH/D007770|ALSO_CODED_AS
UMLS/C0022917|MTH/U000295|ALSO_CODED_AS
UMLS/C0022917|MTH/U002030|ALSO_CODED_AS
UMLS/C0022917|NCI/C25184|ALSO_CODED_AS
UMLS/C0023216|FMA/7184|ALSO_CODED_AS
UMLS/C0023216|LNC/LA18112-5|ALSO_CODED_AS
UMLS/C0023216|LNC/LA30846-2|ALSO_CODED_AS
UMLS/C0023216|LNC/LP199985-5|ALSO_CODED_AS
UMLS/C0023216|LNC/LP29948-4|ALSO_CODED_AS
UMLS/C0023216|LNC/MTHU011970|ALSO_CODED_AS
UMLS/C0023216|MSH/D035002|ALSO_CODED_AS
UMLS/C0023216|MTH/U003308|ALSO_CODED_AS
UMLS/C0023216|NCI/C12742|ALSO_CODED_AS
UMLS/C0023216|NCI/C77625|ALSO_CODED_AS
UMLS/C0024090|FMA/61681|ALSO_CODED_AS
UMLS/C0024090|LNC/LA22230-9|ALSO_CODED_AS
UMLS/C0024090|MSH/D008161|ALSO_CODED_AS
UMLS/C0024090|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0024090|NCI/C34004|ALSO_CODED_AS
UMLS/C0024485|LNC/LA24328-9|ALSO_CODED_AS
UMLS/C0024485|LNC/LP206549-0|ALSO_CODED_AS
UMLS/C0024485|LNC/LP206574-8|ALSO_CODED_AS
UMLS/C0024485|LNC/LP6406-5|ALSO_CODED_AS
UMLS/C0024485|MEDLINEPLUS/3953|ALSO_CODED_AS
UMLS/C0024485|MSH/D008279|ALSO_CODED_AS
UMLS/C0024485|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0024485|NCI/C16809|ALSO_CODED_AS
UMLS/C0025677|LNC/LA14339-8|ALSO_CODED_AS
UMLS/C0025677|LNC/LP16198-1|ALSO_CODED_AS
UMLS/C0025677|LNC/MTHU005020|ALSO_CODED_AS
UMLS/C0025677|MSH/D008727|ALSO_CODED_AS
UMLS/C0025677|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0025677|NCI/C642|ALSO_CODED_AS
UMLS/C0025677|RXNORM/6851|ALSO_CODED_AS
UMLS/C0025677|VANDF/4019828|ALSO_CODED_AS
UMLS/C0026516|LNC/LP89863-2|ALSO_CODED_AS
UMLS/C0026516|LNC/MTHU031584|ALSO_CODED_AS
UMLS/C0026516|MSH/D000339|ALSO_CODED_AS
UMLS/C0026516|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0026516|NCI/C72883|ALSO_CODED_AS
UMLS/C0026612|MSH/D009048|ALSO_CODED_AS
UMLS/C0026612|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0026649|LNC/LP96286-7|ALSO_CODED_AS
UMLS/C0026649|LNC/MTHU034767|ALSO_CODED_AS
UMLS/C0026649|MSH/D009068|ALSO_CODED_AS
UMLS/C0026649|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0026649|NCI/C37994|ALSO_CODED_AS
UMLS/C0026649|OMIM/MTHU000756|ALSO_CODED_AS
UMLS/C0026845|LNC/LP199993-9|ALSO_CODED_AS
UMLS/C0026845|LNC/LP32940-6|ALSO_CODED_AS
UMLS/C0026845|LNC/LP33444-8|ALSO_CODED_AS
UMLS/C0026845|LNC/MTHU016812|ALSO_CODED_AS
UMLS/C0026845|MSH/D009132|ALSO_CODED_AS
UMLS/C0026845|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0026845|NCI/C12435|ALSO_CODED_AS
UMLS/C0027497|HPO/HP:0002018|ALSO_CODED_AS
UMLS/C0027497|LNC/LA15098-9|ALSO_CODED_AS
UMLS/C0027497|LNC/LP36327-2|ALSO_CODED_AS
UMLS/C0027497|LNC/MTHU013524|ALSO_CODED_AS
UMLS/C0027497|MSH/D009325|ALSO_CODED_AS
UMLS/C0027497|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0027497|NCI/C3258|ALSO_CODED_AS
UMLS/C0027497|OMIM/MTHU002455|ALSO_CODED_AS
UMLS/C0027741|LNC/LA9467-7|ALSO_CODED_AS
UMLS/C0027741|LNC/LP200049-7|ALSO_CODED_AS
UMLS/C0027741|MSH/D009407|ALSO_CODED_AS
UMLS/C0027741|NCI/C21072|ALSO_CODED_AS
UMLS/C0028081|HPO/HP:0030166|ALSO_CODED_AS
UMLS/C0028081|LNC/LP75171-6|ALSO_CODED_AS
UMLS/C0028081|LNC/MTHU013525|ALSO_CODED_AS
UMLS/C0028081|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0028081|NCI/C3279|ALSO_CODED_AS
UMLS/C0028081|OMIM/MTHU071582|ALSO_CODED_AS
UMLS/C0028643|LNC/LA30857-9|ALSO_CODED_AS
UMLS/C0028643|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0028643|NCI/C34857|ALSO_CODED_AS
UMLS/C0028643|OMIM/MTHU008008|ALSO_CODED_AS
UMLS/C0028785|FMA/67325|ALSO_CODED_AS
UMLS/C0028785|MSH/D009778|ALSO_CODED_AS
UMLS/C0028785|MTH/U002117|ALSO_CODED_AS
UMLS/C0028785|NCI/C12355|ALSO_CODED_AS
UMLS/C0028945|HPO/HP:0033681|ALSO_CODED_AS
UMLS/C0028945|MSH/D009837|ALSO_CODED_AS
UMLS/C0028945|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0028945|NCI/C129319|ALSO_CODED_AS
UMLS/C0028945|OMIM/137800|ALSO_CODED_AS
UMLS/C0028945|OMIM/MTHU022890|ALSO_CODED_AS
UMLS/C0028945|OMIM/MTHU036793|ALSO_CODED_AS
UMLS/C0029127|FMA/58634|ALSO_CODED_AS
UMLS/C0029127|FMA/58711|ALSO_CODED_AS
UMLS/C0029127|MSH/D009898|ALSO_CODED_AS
UMLS/C0029127|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0029127|NCI/C12760|ALSO_CODED_AS
UMLS/C0030401|MSH/D000773|ALSO_CODED_AS
UMLS/C0030554|HPO/HP:0003401|ALSO_CODED_AS
UMLS/C0030554|LNC/LP202889-4|ALSO_CODED_AS
UMLS/C0030554|LNC/MTHU051473|ALSO_CODED_AS
